missed packet number, sample offset, latency (ms), sample
-94798, 0, 0.0, 0111 1110 0111 1110
-94798, 1, 0.001, 0000 0001 0000 0001
-94798, 20, 0.02, 0000 0001 1000 0001
-94798, 65, 0.065, 0111 1110 1111 1110
-94798, 277, 0.277, 0111 1110 0111 1110
-94798, 593, 0.593, 0111 1110 1111 1110
-94798, 1146, 1.146, 0111 1110 0111 1110
-94798, 1420, 1.42, 0111 1110 1111 1110
-94798, 2001, 2.001, 0111 1110 0111 1110
-94798, 2225, 2.225, 0111 1110 1111 1110
-94798, 2860, 2.86, 0111 1110 0111 1110
-94798, 3058, 3.058, 0111 1110 1111 1110
-94798, 3750, 3.75, 0111 1110 0111 1110
-94798, 3884, 3.884, 0111 1110 1111 1110
-96145, 0, 0.0, 0111 1110 1111 1110
-96145, 1, 0.001, 0000 0001 1000 0001
-96145, 21, 0.021, 0000 0001 0000 0001
-96145, 80, 0.08, 0111 1110 0111 1110
-96145, 450, 0.45, 0111 1110 1111 1110
-96145, 787, 0.787, 0111 1110 0111 1110
-96145, 1367, 1.367, 0111 1110 1111 1110
-96145, 1641, 1.641, 0111 1110 0111 1110
-96145, 2341, 2.341, 0111 1110 1111 1110
-96145, 2547, 2.547, 0111 1110 0111 1110
-96145, 3254, 3.254, 0111 1110 1111 1110
-96145, 3422, 3.422, 0111 1110 0111 1110
-96145, 3944, 3.944, 0111 1110 1111 1110
-96145, 4097, 4.097, 0000 0001 1000 0001
-96145, 4117, 4.117, 0000 0001 0000 0001
-96145, 4176, 4.176, 0111 1110 0111 1110
-96309, 0, 0.0, 0111 1110 0111 1110
-96309, 1, 0.001, 0000 0001 0000 0001
-96309, 21, 0.021, 0000 0001 1000 0001
-96309, 61, 0.061, 0111 1110 1111 1110
-96309, 304, 0.304, 0111 1110 0111 1110
-96309, 626, 0.626, 0111 1110 1111 1110
-96309, 1245, 1.245, 0111 1110 0111 1110
-96309, 1513, 1.513, 0111 1110 1111 1110
-96309, 2122, 2.122, 0111 1110 0111 1110
-96309, 2351, 2.351, 0111 1110 1111 1110
-96309, 3026, 3.026, 0111 1110 0111 1110
-96309, 3249, 3.249, 0111 1110 1111 1110
-96309, 3734, 3.734, 0111 1110 0111 1110
-96309, 4097, 4.097, 0000 0001 0000 0001
-96309, 4111, 4.111, 0111 1110 1111 1110
-96821, 0, 0.0, 0111 1110 0111 1110
-96821, 1, 0.001, 0000 0001 0000 0001
-96821, 20, 0.02, 0000 0001 1000 0001
-96821, 61, 0.061, 0111 1110 1111 1110
-96821, 336, 0.336, 0111 1110 0111 1110
-96821, 636, 0.636, 0111 1110 1111 1110
-96821, 1210, 1.21, 0111 1110 0111 1110
-96821, 1495, 1.495, 0111 1110 1111 1110
-96821, 2159, 2.159, 0111 1110 0111 1110
-96821, 2400, 2.4, 0111 1110 1111 1110
-96821, 3124, 3.124, 0111 1110 0111 1110
-96821, 3313, 3.313, 0111 1110 1111 1110
-96821, 3826, 3.826, 0111 1110 0111 1110
-96821, 4097, 4.097, 0000 0001 0000 0001
-96821, 4116, 4.116, 0000 0001 1000 0001
-96821, 4157, 4.157, 0111 1110 1111 1110
-97250, 0, 0.0, 1111 1110 0111 1110
-97250, 1, 0.001, 1000 0001 0000 0001
-97250, 20, 0.02, 1000 0001 1000 0001
-97250, 62, 0.062, 1111 1110 1111 1110
-97250, 279, 0.279, 1111 1110 0111 1110
-97250, 624, 0.624, 1111 1110 1111 1110
-97250, 1258, 1.258, 1111 1110 0111 1110
-97250, 1520, 1.52, 1111 1110 1111 1110
-97250, 2157, 2.157, 1111 1110 0111 1110
-97250, 2373, 2.373, 1111 1110 1111 1110
-97250, 3039, 3.039, 1111 1110 0111 1110
-97250, 3215, 3.215, 1111 1110 1111 1110
-97250, 3725, 3.725, 1111 1110 0111 1110
-97250, 4008, 4.008, 1111 1110 1111 1110
-97411, 0, 0.0, 0111 1110 0111 1110
-97411, 1, 0.001, 0000 0001 0000 0001
-97411, 21, 0.021, 0000 0001 1000 0001
-97411, 148, 0.148, 0111 1110 1111 1110
-97411, 483, 0.483, 0111 1110 0111 1110
-97411, 827, 0.827, 0111 1110 1111 1110
-97411, 1575, 1.575, 0111 1110 0111 1110
-97411, 1814, 1.814, 0111 1110 1111 1110
-97411, 2646, 2.646, 0111 1110 0111 1110
-97411, 2882, 2.882, 0111 1110 1111 1110
-97411, 3636, 3.636, 0111 1110 0111 1110
-97411, 3807, 3.807, 0111 1110 1111 1110
