missed packet number, sample offset, latency (ms), sample
-87081, 0, 0.0, 0111 1110 1111 1110
-87081, 1, 0.001, 0000 0001 1000 0001
-87081, 19, 0.019, 0000 0001 0000 0001
-87081, 100, 0.1, 0111 1110 0111 1110
-87081, 405, 0.405, 0111 1110 1111 1110
-87081, 721, 0.721, 0111 1110 0111 1110
-87081, 1479, 1.479, 0111 1110 1111 1110
-87081, 1756, 1.756, 0111 1110 0111 1110
-87081, 2538, 2.538, 0111 1110 1111 1110
-87081, 2800, 2.8, 0111 1110 0111 1110
-87081, 3679, 3.679, 0111 1110 1111 1110
-87081, 3906, 3.906, 0111 1110 0111 1110
-87082, 0, 0.0, 0111 1110 0111 1110
-87082, 1, 0.001, 0000 0001 0000 0001
-87082, 20, 0.02, 0000 0001 1000 0001
-87082, 137, 0.137, 0111 1110 1111 1110
-87082, 1677, 1.677, 0111 1110 0111 1110
-87082, 1993, 1.993, 0111 1110 1111 1110
-87082, 2938, 2.938, 0111 1110 0111 1110
-87082, 3182, 3.182, 0111 1110 1111 1110
-87082, 3906, 3.906, 0111 1110 0111 1110
-87082, 4097, 4.097, 0000 0001 0000 0001
-87082, 4116, 4.116, 0000 0001 1000 0001
-87082, 4233, 4.233, 0111 1110 1111 1110
-87083, 0, 0.0, 0111 1110 1111 1110
-87083, 1, 0.001, 0000 0001 1000 0001
-87083, 20, 0.02, 0000 0001 0000 0001
-87083, 146, 0.146, 0111 1110 0111 1110
-87083, 487, 0.487, 0111 1110 1111 1110
-87083, 820, 0.82, 0111 1110 0111 1110
-87083, 1663, 1.663, 0111 1110 1111 1110
-87083, 1948, 1.948, 0111 1110 0111 1110
-87083, 2778, 2.778, 0111 1110 1111 1110
-87083, 3013, 3.013, 0111 1110 0111 1110
-87083, 3757, 3.757, 0111 1110 1111 1110
-87083, 4097, 4.097, 0000 0001 1000 0001
-87083, 4116, 4.116, 0000 0001 0000 0001
-87083, 4132, 4.132, 0111 1110 0111 1110
-87083, 1335913, 1335.913, 0000 0000 0000 0000
-87083, 1340009, 1340.009, 0111 1110 0111 1110
-87084, 0, 0.0, 0111 1110 0111 1110
-87084, 1, 0.001, 0000 0001 0000 0001
-87084, 20, 0.02, 0000 0001 1000 0001
-87084, 129, 0.129, 0111 1110 1111 1110
-87084, 425, 0.425, 0111 1110 0111 1110
-87084, 742, 0.742, 0111 1110 1111 1110
-87084, 1470, 1.47, 0111 1110 0111 1110
-87084, 1748, 1.748, 0111 1110 1111 1110
-87084, 2481, 2.481, 0111 1110 0111 1110
