missed packet number, sample offset, latency (ms), sample
-874, 2661, 2.661, 1111 1110 0111 1110
-874, 3426, 3.426, 1111 1110 1111 1110
-874, 3597, 3.597, 1111 1110 0111 1110
-874, 4151, 4.151, 1000 0001 0000 0001
-874, 4165, 4.165, 1111 1110 0111 1110
-877, 0, 0.0, 1111 1110 0111 1110
-877, 1, 0.001, 1000 0001 0000 0001
-877, 21, 0.021, 1000 0001 1000 0001
-877, 119, 0.119, 1111 1110 1111 1110
-877, 405, 0.405, 1111 1110 0111 1110
-877, 720, 0.72, 1111 1110 1111 1110
-877, 1370, 1.37, 1111 1110 0111 1110
-877, 1639, 1.639, 1111 1110 1111 1110
-877, 2274, 2.274, 1111 1110 0111 1110
-877, 2672, 2.672, 1111 1110 1111 1110
-877, 3571, 3.571, 1111 1110 0111 1110
-877, 3760, 3.76, 1111 1110 1111 1110
-904, 0, 0.0, 1000 0001 1000 0001
-904, 20, 0.02, 1000 0001 0000 0001
-904, 77, 0.077, 1111 1110 0111 1110
-904, 300, 0.3, 1111 1110 1111 1110
-904, 603, 0.603, 1111 1110 0111 1110
-904, 1132, 1.132, 1111 1110 1111 1110
-904, 1413, 1.413, 1111 1110 0111 1110
-904, 2006, 2.006, 1111 1110 1111 1110
-904, 2223, 2.223, 1111 1110 0111 1110
-904, 2860, 2.86, 1111 1110 1111 1110
-904, 3051, 3.051, 1111 1110 0111 1110
-904, 3739, 3.739, 1111 1110 1111 1110
-904, 3873, 3.873, 1111 1110 0111 1110
-950, 0, 0.0, 0111 1110 1111 1110
-950, 1, 0.001, 0000 0001 1000 0001
-950, 21, 0.021, 0000 0001 0000 0001
-950, 60, 0.06, 0111 1110 0111 1110
-950, 265, 0.265, 0111 1110 1111 1110
-950, 580, 0.58, 0111 1110 0111 1110
-950, 1135, 1.135, 0111 1110 1111 1110
-950, 1413, 1.413, 0111 1110 0111 1110
-950, 2093, 2.093, 0111 1110 1111 1110
-950, 2307, 2.307, 0111 1110 0111 1110
-950, 2940, 2.94, 0111 1110 1111 1110
-950, 3120, 3.12, 0111 1110 0111 1110
-950, 3783, 3.783, 0111 1110 1111 1110
-950, 3917, 3.917, 0111 1110 0111 1110
-950, 346106, 346.106, 0000 0000 0000 0000
-950, 350202, 350.202, 0111 1110 0111 1110
-950, 354465, 354.465, 0000 0000 0000 0000
-950, 358561, 358.561, 0111 1110 0111 1110
-967, 0, 0.0, 0111 1110 1111 1110
-967, 1, 0.001, 0000 0001 1000 0001
-967, 21, 0.021, 0000 0001 0000 0001
-967, 102, 0.102, 0111 1110 0111 1110
-967, 347, 0.347, 0111 1110 1111 1110
-967, 662, 0.662, 0111 1110 0111 1110
-967, 1355, 1.355, 0111 1110 1111 1110
-967, 1654, 1.654, 0111 1110 0111 1110
-967, 2397, 2.397, 0111 1110 1111 1110
-967, 2639, 2.639, 0111 1110 0111 1110
-967, 3429, 3.429, 0111 1110 1111 1110
-967, 3569, 3.569, 0111 1110 0111 1110
-967, 4117, 4.117, 0000 0001 0000 0001
-967, 4198, 4.198, 0111 1110 0111 1110
