Time, Mote 1 Rx Signal, Mote 2 Rx Signal
6.927160, 0,0
6.929600, 0,0
6.932040, 0,0
6.934480, 0,0
6.936920, 0,0
6.939360, 0,0
6.941800, 0,0
6.944240, 0,0
6.946680, 0,0
6.949120, 0,0
6.951560, 0,0
6.954000, 0,0
6.956440, 0,0
6.958880, 0,0
6.961320, 0,0
6.963760, 0,0
6.966200, 0,0
6.968640, 0,0
6.971080, 0,0
6.973520, 0,0
6.975960, 0,0
6.978400, 0,0
6.980840, 0,0
6.983280, 0,0
6.985720, 0,0
6.988160, 0,0
6.990600, 0,0
6.993040, 0,0
6.995480, 0,0
6.997920, 0,0
7.000360, 0,0
7.002800, 0,0
7.005240, 0,0
7.007680, 0,0
7.010120, 0,0
7.012560, 0,0
7.015000, 0,0
7.017440, 0,0
7.019880, 0,0
7.022320, 0,0
7.024760, 0,0
7.027200, 0,0
7.029640, 0,0
7.032080, 0,0
7.034520, 0,0
7.036960, 0,0
7.039400, 0,0
7.041840, 0,0
7.044280, 0,0
7.046720, 0,0
7.049160, 0,0
7.051600, 0,0
7.054040, 0,0
7.056480, 0,0
7.058920, 0,0
7.061360, 0,0
7.063800, 0,0
7.066240, 0,0
7.068680, 0,0
7.071120, 0,0
7.073560, 0,0
7.076000, 0,0
7.078440, 0,0
7.080880, 0,0
7.083320, 0,0
7.085760, 0,0
7.088200, 0,0
7.090640, 0,0
7.093080, 0,0
7.095520, 0,0
7.097960, 0,0
7.100400, 0,0
7.102840, 0,0
7.105280, 0,0
7.107720, 0,0
7.110160, 0,0
7.112600, 0,0
7.115040, 0,0
7.117480, 0,0
7.119920, 0,0
7.122360, 0,0
7.124800, 0,0
7.127240, 0,0
7.129680, 0,0
7.132120, 0,0
7.134560, 0,0
7.137000, 0,0
7.139440, 0,0
7.141880, 0,0
7.144320, 0,0
7.146760, 0,0
7.149200, 0,0
7.151640, 0,0
7.154080, 0,0
7.156520, 0,0
7.158960, 0,0
7.161400, 0,0
7.163840, 0,0
7.166280, 0,0
7.168720, 0,0
7.171160, 0,0
7.173600, 0,0
7.176040, 0,0
7.178480, 0,0
7.180920, 0,0
7.183360, 0,0
7.185800, 0,0
7.188240, 0,0
7.190680, 0,0
7.193120, 0,0
7.195560, 0,0
7.198000, 0,0
7.200440, 0,0
7.202880, 0,0
7.205320, 0,0
